,"('GDP growth (annual %)', 'Brazil')","('GDP growth (annual %)', 'India')","('GDP growth (annual %)', 'Poland')","('GDP growth (annual %)', 'South Africa')","('Inflation, consumer prices (annual %)', 'Brazil')","('Inflation, consumer prices (annual %)', 'India')","('Inflation, consumer prices (annual %)', 'Poland')","('Inflation, consumer prices (annual %)', 'South Africa')",ABEV3.SA,ANH.JO,BAJFINANCE.NS,BBDC4.SA,BHARTIARTL.NS,BHP,BRLUSD=X,CDR.WA,CFR.JO,DNP.WA,FSR.JO,GGBR4.SA,GLN.JO,HDB,HINDUNILVR.NS,ICICIBANK.NS,INFY,INRUSD=X,ITUB,KGH.WA,KOTAKBANK.NS,LPP.WA,LREN3.SA,MBK.WA,MGLU3.SA,MTN.JO,NPN.JO,PEO.WA,PETR4.SA,PKO.WA,PLNUSD=X,PZU.WA,RELIANCE.NS,RENT3.SA,SBIN.NS,SBK.JO,SOL.JO,SPL.WA,TCS.NS,TPE.WA,VALE,VOD.JO,WEGE3.SA,ZARUSD=X,^BVSP,^J203.JO,^NSEI,^WIG20
2020,-3.2767587964736,-5.77772470686801,-2.03556882399977,-6.1689177146757,3.21176803803373,6.62343677628536,3.37446972618589,3.23238831615119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,4.76260437908608,9.68959249192875,6.92718266052501,4.95503259440756,8.30165975585677,5.13140747176368,5.05502704719269,4.61874544887136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,3.01669435393015,7.60936497768895,5.25545697386036,1.91147996033504,9.28010608956872,6.69903414079849,14.4294507575758,7.03987272546481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3.24165532906981,9.19075493028345,0.249610834017872,0.698485193724835,4.59356282283203,5.64914318907929,11.5289127961105,6.07524384579656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3.39586645454844,6.48422363033757,2.9233880806669,0.579853692303914,4.36746407652335,4.95303550973652,3.78426007512869,4.36115246518963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01 00:00:00,,,,,,,,,,,413.5321350097656,,433.3164978027344,,0.24895524978637695,263.9303283691406,,14.399999618530273,,,,,1763.6876220703125,519.1378784179688,,0.01403000671416521,,89.44841003417969,1667.08544921875,7351.7158203125,,389.3999938964844,,,,71.04217529296875,,27.709758758544922,0.26277756690979004,26.92854118347168,675.3241577148438,,308.60260009765625,,,242.7266082763672,1900.0380859375,1.6399999856948853,,,,0.07144949585199356,,,12182.5,
2020-01-02 00:00:00,,,,,,,,,14.74388313293457,116500.625,414.9737243652344,19.785350799560547,435.1326904296875,33.608604431152344,0.24898536503314972,270.8236999511719,,14.520000457763672,6304.0517578125,11.182147026062012,4466.37255859375,29.585725784301758,1765.0537109375,522.861572265625,8.967669486999512,0.014079549349844456,5.15415096282959,91.61957550048828,1664.5958251953125,7372.5537109375,39.49705505371094,394.3999938964844,111.6562271118164,8349.5078125,46744.0703125,72.13839721679688,9.094493865966797,28.521915435791016,0.2636435627937317,27.782882690429688,686.8212280273438,42.849185943603516,313.0777587890625,16816.677734375,30347.04296875,245.09544372558594,1891.3160400390625,1.7050000429153442,7.83058500289917,11564.541015625,16.119909286499023,0.07141367346048355,118573.0,57718.0,12282.2001953125,2200.10009765625
2020-01-03 00:00:00,,,,,,,,,14.53654670715332,118245.5703125,409.8330383300781,19.795358657836914,435.0371398925781,33.38218307495117,0.24854601919651031,270.0682678222656,,14.180000305175781,6210.36328125,10.999008178710938,4479.37060546875,28.800798416137695,1755.400146484375,521.1690063476562,8.985099792480469,0.014002660289406776,5.110195636749268,89.95376586914062,1650.205810546875,7355.8828125,39.222293853759766,396.3999938964844,110.66031646728516,8107.95654296875,47074.02734375,71.99695587158203,9.02043628692627,27.94295310974121,0.2635740637779236,27.5137996673584,687.6488037109375,42.22742462158203,307.9105224609375,16661.263671875,31161.025390625,242.09490966796875,1929.0079345703125,1.6770000457763672,7.737434387207031,11547.5966796875,15.914069175720215,0.07103281468153,117707.0,57810.0,12226.650390625,2173.969970703125
2020-01-06 00:00:00,,,,,,,,,14.605659484863281,118880.546875,390.60430908203125,19.44178009033203,429.8273620605469,33.34546661376953,0.2464875429868698,270.0682678222656,,14.180000305175781,5985.111328125,10.972078323364258,4412.3798828125,28.289899826049805,1744.470947265625,508.4505310058594,8.897951126098633,0.013940973207354546,5.000298976898193,89.95376586914062,1645.6748046875,7355.8828125,39.18795394897461,396.3999938964844,110.7508544921875,8024.111328125,46870.05078125,71.99695587158203,9.127079963684082,27.94295310974121,0.26308590173721313,27.5137996673584,671.70068359375,41.73520278930664,294.34661865234375,16277.708984375,31795.232421875,242.09490966796875,1928.8328857421875,1.6770000457763672,7.650103569030762,11371.1689453125,15.955231666564941,0.0698409378528595,116878.0,57195.3515625,11993.0498046875,
2020-01-07 00:00:00,,,,,,,,,14.636374473571777,118405.5625,391.6744689941406,19.104032516479492,425.4779968261719,33.34546661376953,0.24628114700317383,267.9908142089844,,14.329999923706055,6019.99560546875,11.144440650939941,4439.37548828125,28.187721252441406,1749.2523193359375,505.74237060546875,8.802087783813477,0.01393009815365076,4.879412651062012,89.80402374267578,1663.8985595703125,7285.033203125,39.167335510253906,392.0,110.43396759033203,8025.10986328125,47156.015625,71.11290740966797,9.091533660888672,27.685638427734375,0.2645852565765381,27.251441955566406,682.0346069335938,42.14107131958008,293.7929382324219,16290.66015625,31495.607421875,238.93649291992188,1933.5667724609375,1.6749999523162842,7.70250129699707,11472.8388671875,16.07874298095703,0.0704091489315033,116662.0,57384.41015625,12052.9501953125,2145.010009765625
2020-01-08 00:00:00,,,,,,,,,14.567261695861816,116176.6484375,395.8085632324219,18.808496475219727,438.6217956542969,33.51068878173828,0.24592986702919006,265.44122314453125,,14.229999542236328,6016.00830078125,11.187531471252441,4463.37255859375,28.489614486694336,1757.1302490234375,508.6923522949219,8.793370246887207,0.01385809201747179,4.807978630065918,88.86817932128906,1647.9652099609375,7210.015625,39.42150115966797,392.3999938964844,113.82914733886719,7946.255859375,46494.1015625,70.03082275390625,9.035246849060059,27.396156311035156,0.2626843750476837,26.67963981628418,676.9124145507812,41.93381881713867,295.0847473144531,16374.3427734375,31103.09765625,233.72506713867188,1976.868896484375,1.6299999952316284,7.696680545806885,11462.8701171875,15.470357894897461,0.06966117024421692,116247.0,57322.328125,12025.349609375,2115.989990234375
2020-01-09 00:00:00,,,,,,,,,14.45207691192627,116635.625,403.0650939941406,18.507680892944336,439.8166809082031,33.19247817993164,0.2461356669664383,272.5234375,,14.520000457763672,6045.90966796875,11.128284454345703,4435.37646484375,29.037670135498047,1762.3216552734375,528.3745727539062,9.13325309753418,0.014003267511725426,4.703577518463135,90.68372344970703,1658.122802734375,7255.8603515625,39.1192512512207,400.0,117.8807373046875,7931.2841796875,46817.859375,72.66883087158203,9.005620956420898,27.94295310974121,0.26248785853385925,27.056358337402344,692.5026245117188,42.15834045410156,304.6810302734375,16357.40625,30258.154296875,238.3047637939453,1941.01708984375,1.649999976158142,7.562773704528809,11564.541015625,15.241640090942383,0.0706389769911766,115947.0,57128.6796875,12215.900390625,2157.610107421875
2020-01-10 00:00:00,,,,,,,,,14.505828857421875,116545.625,405.0832214355469,18.16993522644043,436.85333251953125,33.284271240234375,0.24437329173088074,269.12396240234375,,15.050000190734863,6000.06201171875,11.279102325439453,4454.3740234375,28.749706268310547,1779.579833984375,522.5230712890625,9.281405448913574,0.01404606830328703,4.643134117126465,92.64900207519531,1677.69091796875,7260.02685546875,39.24290084838867,383.6000061035156,117.2469711303711,8351.50390625,47503.97265625,74.2247543334961,8.967111587524414,27.934911727905273,0.26165682077407837,27.5137996673584,692.3460083007812,41.32070541381836,306.57257080078125,16425.154296875,30961.275390625,237.51513671875,1940.3157958984375,1.6319999694824219,7.551130771636963,11672.19140625,15.552687644958496,0.07035861909389496,115503.0,57484.83984375,12256.7998046875,2167.909912109375
2020-01-13 00:00:00,,,,,,,,,14.751559257507324,116203.6484375,407.00372314453125,18.36519432067871,448.228759765625,33.504573822021484,0.24567006528377533,274.41204833984375,,15.970000267028809,5912.3544921875,11.763875961303711,4516.36474609375,29.19093894958496,1816.78369140625,520.92724609375,9.481850624084473,0.014093835838139057,4.6541218757629395,93.58485412597656,1684.0643310546875,7297.53564453125,40.09467697143555,377.6000061035156,122.74716186523438,8244.7021484375,47774.5390625,75.32097625732422,8.984888076782227,28.47366714477539,0.2624141573905945,28.11924171447754,690.5790405273438,41.45022964477539,305.1885070800781,16320.548828125,30811.46484375,238.93649291992188,1919.97998046875,1.6130000352859497,7.754899024963379,11712.0625,15.699070930480957,0.06978294253349304,117325.0,57572.71875,12329.5498046875,2194.419921875
2020-01-14 00:00:00,,,,,,,,,14.667091369628906,115903.6484375,409.7890319824219,18.344091415405273,448.6589660644531,33.773834228515625,0.24120795726776123,272.42901611328125,,15.25,6028.9658203125,11.537647247314453,4556.359375,29.172365188598633,1829.488525390625,519.9600219726562,9.464420318603516,0.014140491373836994,4.648628234863281,93.3976821899414,1669.8238525390625,7260.02685546875,39.586341857910156,385.0,122.2265625,8280.6357421875,48519.03515625,74.26011657714844,8.887125015258789,28.49778938293457,0.2631232738494873,27.76270294189453,684.181884765625,41.6229362487793,302.65106201171875,16741.95703125,30062.400390625,233.88294982910156,1934.486572265625,1.6100000143051147,7.83058500289917,11840.646484375,16.010128021240234,0.06954877078533173,117632.0,57967.12890625,12362.2998046875,2182.9599609375
2020-01-15 00:00:00,,,,,,,,,14.406002044677734,115013.6875,411.18170166015625,18.022167205810547,447.2250061035156,33.675926208496094,0.24205456674098969,267.4242248535156,,15.600000381469727,6042.919921875,11.365283012390137,4460.37353515625,29.009801864624023,1841.1912841796875,518.0256958007812,9.455707550048828,0.01411530189216137,4.5497212409973145,92.42440795898438,1668.6287841796875,7276.6982421875,39.32533264160156,390.3999938964844,121.45699310302734,8304.591796875,48993.78125,72.49201202392578,8.75382137298584,27.991199493408203,0.26351848244667053,27.27162742614746,681.6990356445312,41.63157653808594,299.19085693359375,16787.78515625,29038.6796875,231.82997131347656,1952.01806640625,1.6059999465942383,7.719968795776367,11913.41015625,16.115339279174805,0.0694463700056076,116414.0,58063.58984375,12343.2998046875,2165.080078125
